temp_level,humidity,precipitation,frequency_outbreak_in_area,travel_patterns,mosquito_species,malaria_vectors,vectors_infection_rates,healthcare_availability,healthcare_accessibility,malaria_treatment_success_rates,land_use,mosquito_breeding_sites,stagnant_waters,iot_air_quality,iot_water_quality,presence_of_vegetation,outbreak_threshold
Low,Low,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Urban,Yes,No,Bad,Bad,No,0.905817919
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,No,No,High,Rural,Yes,No,Good,Good,No,0.251800328
High,Low,Yes,Low,Low,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,Yes,No,Bad,Bad,Yes,0.90325351
High,Low,Yes,Low,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Rural,Yes,Yes,Good,Bad,Yes,0.719488532
Low,High,Yes,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.92518265
High,Low,Yes,Low,Low,Culex quinquefasciatus,No,High,No,Yes,High,Urban,No,No,Bad,Good,No,0.854999257
High,High,Yes,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.052331532
High,Low,No,Low,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,No,Yes,Bad,Bad,Yes,0.46277029
Low,High,Yes,High,Low,Aedes aegypti,No,Low,No,No,High,Urban,Yes,Yes,Bad,Bad,Yes,0.659366153
High,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,Yes,No,Low,Rural,No,Yes,Bad,Good,Yes,0.601216577
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,No,No,Bad,Good,Yes,0.31860302
Low,Low,No,Low,High,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,No,Good,Good,Yes,0.360443665
High,Low,No,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Good,Yes,0.774903241
Low,High,No,High,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Rural,Yes,Yes,Bad,Good,No,0.618950617
High,High,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.221140049
Low,High,Yes,High,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.609185241
High,Low,No,Low,Low,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,Yes,Good,Bad,No,0.366197849
Low,Low,Yes,High,High,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,No,Yes,Bad,Good,No,0.102595062
High,Low,Yes,High,Low,Anopheles gambiae,Yes,High,No,Yes,High,Rural,Yes,No,Good,Good,No,0.080326044
High,High,No,Low,High,Aedes aegypti,No,High,No,No,High,Rural,Yes,No,Bad,Bad,Yes,0.929941047
High,High,Yes,High,Low,Aedes aegypti,No,Low,No,Yes,High,Urban,No,No,Good,Bad,No,0.3228673
Low,High,Yes,High,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.843128808
High,High,Yes,High,Low,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Bad,Yes,0.064427572
Low,High,Yes,High,Low,Anopheles gambiae,Yes,Low,No,No,High,Rural,Yes,No,Good,Good,Yes,0.043323394
Low,High,Yes,High,High,Anopheles gambiae,No,High,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.666952546
Low,High,Yes,High,Low,Anopheles gambiae,No,Low,Yes,Yes,Low,Urban,No,No,Good,Good,Yes,0.573922262
High,High,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Urban,No,No,Bad,Bad,Yes,0.986500786
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,No,Good,Good,No,0.874260857
High,High,No,High,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,Yes,Yes,Bad,Bad,Yes,0.837115837
High,Low,No,High,High,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,No,Good,Good,No,0.500291555
High,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Rural,No,Yes,Bad,Good,No,0.178969144
Low,Low,No,Low,High,Culex quinquefasciatus,No,Low,No,No,High,Urban,Yes,No,Good,Good,No,0.614888299
High,High,Yes,High,Low,Culex quinquefasciatus,No,Low,No,No,Low,Urban,Yes,No,Bad,Good,No,0.512508062
Low,High,No,High,High,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,No,No,Bad,Good,No,0.633257587
Low,High,Yes,Low,Low,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.49398741
High,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Rural,No,Yes,Bad,Bad,Yes,0.078828632
Low,High,No,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Rural,Yes,No,Bad,Bad,No,0.882793628
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,No,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.776118326
High,Low,No,Low,Low,Anopheles gambiae,Yes,High,No,No,Low,Rural,Yes,No,Bad,Good,No,0.95651256
Low,High,Yes,Low,High,Aedes aegypti,No,High,Yes,No,Low,Rural,No,Yes,Bad,Good,No,0.119892141
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,No,No,Low,Rural,Yes,No,Good,Good,No,0.68631878
Low,High,Yes,High,High,Aedes aegypti,No,Low,No,Yes,High,Rural,Yes,Yes,Bad,Good,Yes,0.306243761
High,Low,Yes,High,High,Anopheles gambiae,Yes,High,Yes,No,High,Urban,Yes,No,Good,Good,Yes,0.967788268
Low,High,Yes,High,High,Aedes aegypti,No,Low,Yes,No,High,Urban,No,No,Good,Good,Yes,0.128248379
Low,Low,Yes,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Rural,No,Yes,Bad,Bad,No,0.766749215
High,Low,Yes,Low,High,Aedes aegypti,No,Low,Yes,No,High,Rural,No,No,Bad,Bad,No,0.130465443
Low,High,No,High,Low,Anopheles gambiae,Yes,Low,No,No,Low,Urban,No,Yes,Bad,Good,No,0.124419444
Low,High,No,High,High,Anopheles gambiae,No,High,Yes,Yes,High,Rural,No,Yes,Good,Good,No,0.16184286
High,High,No,High,High,Aedes aegypti,No,High,No,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.095467501
High,Low,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.455855064
High,High,Yes,Low,Low,Aedes aegypti,Yes,Low,Yes,No,High,Rural,Yes,No,Bad,Bad,Yes,0.3292904
High,Low,No,Low,High,Culex quinquefasciatus,No,High,Yes,No,High,Rural,No,No,Bad,Bad,No,0.983550133
High,Low,No,High,High,Anopheles gambiae,No,High,No,No,High,Rural,Yes,Yes,Good,Bad,No,0.250239373
Low,High,No,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,No,Yes,Good,Bad,No,0.141409128
Low,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,No,Yes,Good,Good,Yes,0.125802397
Low,Low,No,Low,Low,Culex quinquefasciatus,No,Low,Yes,No,High,Rural,Yes,Yes,Good,Bad,Yes,0.354341608
Low,High,No,High,High,Aedes aegypti,No,High,No,No,High,Urban,No,No,Bad,Bad,No,0.105716035
Low,High,Yes,Low,High,Culex quinquefasciatus,No,High,No,No,High,Rural,No,No,Bad,Good,Yes,0.669877067
Low,High,Yes,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,Low,Urban,Yes,Yes,Bad,Good,Yes,0.514740108
High,Low,No,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Urban,No,No,Bad,Bad,No,0.832754761
High,Low,Yes,High,High,Aedes aegypti,Yes,High,Yes,No,Low,Rural,No,Yes,Bad,Bad,Yes,0.868183026
High,High,No,High,Low,Aedes aegypti,No,High,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.188385489
Low,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Urban,No,No,Bad,Good,Yes,0.945421005
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,Yes,Bad,Good,Yes,0.413309019
High,High,Yes,Low,High,Anopheles gambiae,No,High,Yes,No,High,Rural,Yes,Yes,Bad,Bad,No,0.868343898
High,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.735667885
High,High,Yes,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,No,Yes,Bad,Good,No,0.232006085
High,High,No,Low,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.988996607
High,High,No,High,High,Aedes aegypti,No,High,No,No,High,Urban,No,Yes,Bad,Bad,Yes,0.437021177
Low,Low,No,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,No,No,Bad,Bad,No,0.837140588
Low,Low,No,Low,High,Aedes aegypti,No,Low,Yes,Yes,High,Rural,Yes,Yes,Good,Good,No,0.132146059
High,Low,No,High,High,Anopheles gambiae,No,Low,Yes,No,Low,Rural,Yes,No,Good,Bad,No,0.521399991
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,Yes,No,High,Urban,Yes,Yes,Bad,Good,No,0.865263305
High,Low,No,Low,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Rural,No,No,Bad,Good,No,0.727493153
Low,High,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,No,Good,Good,Yes,0.968033455
High,Low,No,High,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,No,Bad,Bad,Yes,0.703792737
High,High,No,High,High,Anopheles gambiae,No,Low,No,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.700195851
High,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,Yes,Bad,Good,Yes,0.247752253
High,Low,No,Low,High,Culex quinquefasciatus,No,High,No,No,Low,Urban,Yes,No,Bad,Good,Yes,0.399555024
High,Low,No,High,High,Aedes aegypti,Yes,High,No,No,High,Urban,Yes,Yes,Good,Good,Yes,0.533140327
Low,High,No,High,Low,Aedes aegypti,No,Low,Yes,No,Low,Urban,Yes,Yes,Bad,Good,Yes,0.750307821
High,High,Yes,Low,High,Aedes aegypti,No,Low,Yes,No,High,Rural,No,No,Bad,Bad,Yes,0.291765859
High,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Rural,Yes,Yes,Good,Bad,Yes,0.359185971
High,Low,Yes,High,High,Aedes aegypti,No,High,No,No,Low,Rural,No,No,Good,Bad,No,0.888156916
Low,Low,No,High,High,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.995979779
Low,High,No,High,Low,Aedes aegypti,Yes,High,No,Yes,Low,Urban,Yes,No,Bad,Good,No,0.965774389
Low,High,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Rural,No,Yes,Bad,Bad,No,0.593656463
High,Low,No,Low,Low,Aedes aegypti,Yes,High,Yes,Yes,High,Rural,No,Yes,Bad,Bad,No,0.189771664
Low,Low,No,Low,Low,Aedes aegypti,No,High,No,Yes,High,Urban,Yes,No,Good,Bad,No,0.444891613
Low,Low,No,High,Low,Culex quinquefasciatus,No,High,No,Yes,High,Rural,Yes,No,Bad,Bad,Yes,0.257540065
Low,Low,No,High,High,Anopheles gambiae,Yes,High,Yes,No,High,Rural,Yes,Yes,Bad,Good,No,0.93235273
Low,High,No,Low,High,Aedes aegypti,No,High,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.858795752
High,Low,Yes,Low,High,Anopheles gambiae,Yes,High,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.459704502
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,No,No,High,Rural,Yes,No,Bad,Bad,Yes,0.176019534
Low,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,No,Bad,Bad,Yes,0.519039197
Low,Low,Yes,High,High,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,No,No,Bad,Good,Yes,0.931257972
High,High,No,High,Low,Culex quinquefasciatus,No,High,No,No,High,Urban,Yes,No,Good,Bad,No,0.508404858
High,High,No,High,High,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Rural,Yes,No,Good,Good,Yes,0.038692399
Low,High,No,High,High,Anopheles gambiae,No,Low,Yes,Yes,High,Rural,No,Yes,Bad,Bad,Yes,0.363239125
High,High,No,High,Low,Anopheles gambiae,No,High,No,Yes,Low,Rural,Yes,Yes,Good,Bad,No,0.494195669
Low,Low,Yes,Low,Low,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,Yes,No,Bad,Good,No,0.933965834
Low,High,Yes,High,Low,Anopheles gambiae,Yes,High,No,No,High,Urban,No,Yes,Good,Bad,Yes,0.599188107
High,Low,No,High,High,Culex quinquefasciatus,No,Low,No,No,Low,Rural,No,Yes,Bad,Bad,No,0.748281761
Low,High,No,High,Low,Culex quinquefasciatus,Yes,High,No,No,Low,Urban,Yes,Yes,Good,Bad,Yes,0.458597171
High,Low,No,High,Low,Anopheles gambiae,Yes,Low,Yes,No,Low,Urban,Yes,No,Bad,Bad,Yes,0.938913292
Low,High,Yes,Low,High,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,No,No,Bad,Bad,Yes,0.559860595
High,Low,Yes,High,Low,Culex quinquefasciatus,No,High,No,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.716330041
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Urban,No,No,Good,Bad,No,0.3779425
High,High,Yes,High,Low,Aedes aegypti,No,Low,No,No,Low,Rural,No,Yes,Good,Bad,No,0.168588694
High,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,Yes,Low,Rural,No,No,Bad,Good,Yes,0.707820212
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,Low,Yes,Yes,Low,Urban,No,Yes,Bad,Good,No,0.704694591
High,Low,Yes,High,High,Aedes aegypti,No,Low,Yes,No,Low,Rural,No,No,Bad,Good,No,0.819671794
High,High,Yes,High,Low,Anopheles gambiae,No,High,No,Yes,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.934866033
High,Low,No,Low,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.552501093
Low,Low,No,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Rural,Yes,No,Good,Good,No,0.062004192
High,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,Yes,Low,Urban,Yes,No,Good,Bad,Yes,0.185107098
High,Low,No,Low,Low,Culex quinquefasciatus,No,Low,Yes,Yes,Low,Urban,Yes,Yes,Bad,Good,No,0.26221129
High,Low,No,High,High,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.966774158
High,Low,No,Low,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Rural,No,Yes,Bad,Bad,Yes,0.927677101
High,Low,No,High,High,Anopheles gambiae,Yes,High,No,Yes,High,Urban,No,Yes,Good,Bad,No,0.69416016
Low,Low,No,Low,Low,Anopheles gambiae,No,High,Yes,No,High,Urban,No,Yes,Good,Bad,No,0.900765062
Low,High,Yes,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,Yes,No,Bad,Bad,Yes,0.133887661
High,Low,No,Low,High,Aedes aegypti,Yes,Low,No,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.249599558
Low,High,No,High,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Rural,No,Yes,Good,Bad,Yes,0.900224534
High,High,Yes,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.031719912
High,High,No,High,Low,Anopheles gambiae,Yes,High,No,No,High,Rural,Yes,Yes,Good,Good,Yes,0.466490132
High,High,No,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,No,Yes,Good,Good,No,0.929532699
High,Low,Yes,Low,Low,Anopheles gambiae,No,High,No,No,Low,Urban,No,Yes,Bad,Good,No,0.822364759
High,Low,No,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,No,Yes,Good,Bad,No,0.241001723
High,High,Yes,High,Low,Culex quinquefasciatus,Yes,Low,No,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.112010706
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,Yes,Yes,High,Urban,No,No,Good,Good,Yes,0.526629707
Low,High,Yes,High,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,No,Bad,Bad,Yes,0.438597753
High,Low,No,Low,High,Anopheles gambiae,No,High,Yes,No,High,Rural,Yes,Yes,Bad,Good,No,0.754605112
Low,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,No,No,High,Urban,No,Yes,Good,Good,No,0.197889775
High,Low,No,High,High,Anopheles gambiae,Yes,High,No,No,High,Rural,No,No,Bad,Bad,No,0.982299761
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,No,Yes,Low,Urban,No,Yes,Bad,Good,No,0.98009541
High,Low,No,High,Low,Anopheles gambiae,No,High,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.819435321
Low,High,No,Low,High,Anopheles gambiae,Yes,Low,Yes,No,High,Urban,Yes,Yes,Good,Bad,Yes,0.283456919
High,Low,Yes,Low,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Rural,No,Yes,Good,Bad,No,0.43771798
High,High,Yes,High,High,Anopheles gambiae,No,High,No,No,High,Rural,Yes,Yes,Good,Good,No,0.470578692
Low,Low,No,Low,High,Aedes aegypti,No,Low,Yes,No,Low,Urban,No,No,Bad,Bad,No,0.361035512
Low,Low,No,High,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,Yes,Good,Bad,Yes,0.943959551
High,High,No,High,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,Yes,Yes,Good,Good,Yes,0.414693678
Low,Low,No,High,High,Aedes aegypti,No,High,Yes,Yes,High,Rural,No,No,Good,Good,Yes,0.907762406
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,High,Rural,Yes,No,Bad,Bad,No,0.130216404
High,Low,Yes,High,Low,Anopheles gambiae,No,Low,Yes,No,Low,Urban,Yes,Yes,Bad,Good,No,0.334229938
Low,Low,No,High,High,Aedes aegypti,Yes,High,Yes,No,High,Rural,Yes,No,Good,Good,Yes,0.687937523
High,High,Yes,High,High,Culex quinquefasciatus,No,Low,Yes,No,Low,Urban,Yes,No,Good,Good,No,0.629406307
Low,Low,Yes,Low,Low,Aedes aegypti,No,Low,No,Yes,High,Rural,No,No,Good,Good,Yes,0.725905814
Low,High,No,Low,High,Anopheles gambiae,Yes,Low,No,Yes,High,Rural,No,No,Good,Good,Yes,0.442409729
Low,High,No,Low,Low,Aedes aegypti,Yes,High,Yes,Yes,Low,Urban,No,No,Bad,Good,No,0.808916996
High,High,Yes,High,Low,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Good,Good,No,0.915665687
High,High,No,Low,High,Aedes aegypti,No,High,Yes,No,High,Rural,Yes,Yes,Good,Bad,Yes,0.353768367
Low,High,No,High,High,Culex quinquefasciatus,No,High,No,No,Low,Rural,No,Yes,Good,Bad,Yes,0.459804603
High,High,Yes,High,Low,Aedes aegypti,No,High,Yes,No,High,Urban,No,No,Good,Good,No,0.603982641
High,High,No,High,High,Anopheles gambiae,No,Low,No,No,Low,Rural,Yes,Yes,Bad,Bad,No,0.166069642
High,High,Yes,Low,Low,Aedes aegypti,Yes,High,Yes,No,Low,Urban,No,No,Good,Bad,No,0.887876939
High,High,No,High,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Rural,Yes,No,Bad,Good,Yes,0.095149315
High,High,Yes,Low,High,Anopheles gambiae,No,Low,No,No,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.989781541
High,Low,No,High,High,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,Yes,0.668753559
Low,Low,Yes,Low,Low,Aedes aegypti,Yes,Low,Yes,No,Low,Rural,Yes,No,Bad,Bad,No,0.803101693
Low,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,High,Rural,Yes,Yes,Bad,Good,No,0.462687904
Low,High,Yes,High,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,Yes,Yes,Good,Bad,No,0.845998596
High,High,No,High,High,Culex quinquefasciatus,Yes,Low,Yes,Yes,Low,Urban,No,Yes,Bad,Bad,No,0.500280856
Low,Low,No,High,Low,Aedes aegypti,No,Low,No,Yes,Low,Rural,No,No,Good,Good,Yes,0.301560471
High,Low,Yes,Low,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,No,Yes,Good,Good,Yes,0.58714516
Low,High,Yes,High,High,Culex quinquefasciatus,Yes,Low,Yes,No,Low,Urban,Yes,No,Good,Bad,No,0.834859691
Low,High,No,High,High,Anopheles gambiae,Yes,High,Yes,Yes,Low,Urban,Yes,No,Good,Good,No,0.068329087
Low,High,No,High,High,Aedes aegypti,No,High,No,Yes,High,Rural,Yes,No,Good,Good,No,0.482200786
High,Low,No,High,Low,Anopheles gambiae,Yes,High,No,No,Low,Urban,Yes,Yes,Bad,Bad,Yes,0.727220028
High,Low,Yes,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,No,No,Good,Bad,Yes,0.645211994
High,High,No,Low,High,Culex quinquefasciatus,Yes,High,No,No,High,Urban,Yes,No,Bad,Good,No,0.943432907
High,High,No,High,High,Anopheles gambiae,No,Low,Yes,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.639242854
Low,High,Yes,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,Yes,Good,Good,No,0.534510076
High,Low,Yes,High,Low,Culex quinquefasciatus,No,Low,No,Yes,Low,Rural,No,Yes,Bad,Bad,No,0.957472337
Low,High,Yes,Low,Low,Aedes aegypti,Yes,Low,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.564194823
High,High,No,High,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,Yes,No,Bad,Bad,Yes,0.334473561
Low,High,Yes,High,High,Aedes aegypti,Yes,Low,No,Yes,Low,Urban,No,Yes,Good,Good,Yes,0.096377189
High,Low,No,High,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,No,No,Good,Bad,No,0.873288471
Low,Low,No,Low,Low,Aedes aegypti,Yes,High,No,Yes,Low,Rural,Yes,Yes,Bad,Bad,No,0.728150528
High,Low,No,Low,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,No,No,Bad,Bad,No,0.385858316
Low,Low,No,High,Low,Culex quinquefasciatus,Yes,Low,No,Yes,High,Rural,No,Yes,Bad,Bad,Yes,0.045768959
Low,High,No,High,Low,Aedes aegypti,Yes,High,Yes,No,High,Rural,No,No,Bad,Good,Yes,0.515593972
High,High,Yes,High,High,Aedes aegypti,No,Low,Yes,Yes,Low,Rural,Yes,Yes,Good,Good,Yes,0.724709848
High,Low,No,Low,Low,Aedes aegypti,No,High,No,Yes,Low,Urban,Yes,Yes,Good,Good,No,0.027057887
High,High,Yes,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Rural,Yes,Yes,Bad,Bad,Yes,0.638057332
Low,Low,Yes,High,High,Aedes aegypti,Yes,High,No,Yes,High,Rural,No,No,Bad,Bad,No,0.707963389
High,Low,Yes,High,High,Anopheles gambiae,No,Low,No,No,Low,Rural,Yes,Yes,Bad,Bad,No,0.76564383
Low,Low,No,Low,High,Culex quinquefasciatus,No,Low,No,Yes,High,Urban,Yes,No,Good,Bad,No,0.428049637
Low,High,No,High,High,Anopheles gambiae,Yes,Low,No,Yes,High,Urban,No,Yes,Good,Good,No,0.574897192
Low,Low,Yes,High,Low,Aedes aegypti,No,Low,Yes,No,High,Rural,Yes,Yes,Bad,Bad,No,0.800507225
High,High,No,Low,Low,Aedes aegypti,Yes,High,No,No,Low,Rural,Yes,Yes,Bad,Good,No,0.41359442
Low,Low,No,Low,High,Culex quinquefasciatus,No,Low,Yes,Yes,High,Urban,Yes,No,Bad,Good,Yes,0.67302416
High,Low,No,Low,High,Anopheles gambiae,Yes,High,No,Yes,Low,Rural,No,Yes,Bad,Good,Yes,0.195916653
High,High,No,Low,Low,Aedes aegypti,Yes,Low,No,No,High,Urban,No,Yes,Good,Good,No,0.896711121
Low,High,No,Low,High,Aedes aegypti,Yes,Low,Yes,Yes,High,Urban,No,Yes,Good,Good,No,0.368517469
High,Low,Yes,High,Low,Culex quinquefasciatus,Yes,High,Yes,No,High,Urban,Yes,Yes,Bad,Good,No,0.238275264
High,Low,No,Low,High,Aedes aegypti,No,Low,No,No,Low,Urban,Yes,Yes,Bad,Bad,No,0.790531215
High,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,No,High,Rural,No,Yes,Bad,Bad,No,0.280239493
High,High,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,Low,Urban,Yes,No,Good,Bad,No,0.667716879
Low,High,Yes,High,High,Anopheles gambiae,Yes,High,Yes,No,Low,Rural,Yes,Yes,Good,Bad,Yes,0.062654351
Low,High,Yes,Low,High,Anopheles gambiae,Yes,High,Yes,Yes,Low,Rural,No,Yes,Bad,Good,No,0.692183789
High,High,No,High,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,No,Yes,Bad,Good,No,0.079171132
Low,High,No,High,High,Culex quinquefasciatus,No,High,Yes,Yes,Low,Rural,Yes,No,Bad,Good,No,0.564272784
Low,Low,No,Low,High,Culex quinquefasciatus,Yes,High,Yes,No,Low,Urban,Yes,Yes,Bad,Good,No,0.980639567
High,High,Yes,Low,Low,Anopheles gambiae,No,Low,Yes,Yes,High,Urban,No,No,Good,Bad,Yes,0.468504408
Low,High,Yes,High,High,Culex quinquefasciatus,No,High,Yes,Yes,High,Urban,No,Yes,Bad,Bad,Yes,0.913737192
Low,High,No,Low,High,Anopheles gambiae,No,Low,Yes,No,High,Urban,Yes,No,Good,Bad,Yes,0.260347432
Low,Low,Yes,Low,Low,Anopheles gambiae,No,High,Yes,Yes,High,Urban,Yes,Yes,Good,Bad,No,0.309695575
Low,Low,Yes,High,High,Aedes aegypti,Yes,Low,Yes,No,High,Urban,Yes,No,Bad,Bad,No,0.087266494
Low,Low,No,High,High,Anopheles gambiae,No,High,No,Yes,High,Urban,No,No,Good,Good,No,0.172941797
High,High,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,Yes,Low,Urban,No,Yes,Good,Bad,No,0.979878954
Low,Low,Yes,Low,Low,Culex quinquefasciatus,Yes,Low,No,Yes,Low,Urban,Yes,No,Bad,Good,No,0.375980098
Low,Low,No,High,High,Culex quinquefasciatus,No,High,No,Yes,High,Rural,Yes,Yes,Bad,Good,No,0.277442039
Low,Low,Yes,Low,High,Aedes aegypti,No,Low,No,Yes,High,Rural,Yes,Yes,Good,Bad,No,0.820874005
Low,Low,Yes,High,Low,Anopheles gambiae,Yes,High,Yes,No,Low,Urban,Yes,Yes,Good,Good,Yes,0.391933216
Low,High,No,High,Low,Aedes aegypti,Yes,Low,No,Yes,High,Urban,Yes,No,Good,Bad,Yes,0.32245511
Low,High,No,Low,High,Anopheles gambiae,No,Low,No,Yes,High,Urban,Yes,Yes,Good,Good,No,0.032310998
